ObjectID,GlobalID,Medical Point - Health Facility Name in English,Total_children_vaccinated_2025,Total_children_vaccinated_BCG_2025,Total_children_vaccinated_Penta_2025,Total_children_vaccinated_Penta3_2025,Total_children_vaccinated_2026,Total_children_vaccinated_BCG_2026,Total_children_vaccinated_Penta_2026,Total_children_vaccinated_Penta3_2026,Population Data| Number of Antenatal_2025,Population Data| Number of postnatal_2026,Population Data| Number of postnatal_2025,Population Data| Number of postnatal_2026,Estimated population by neighborhood,CreationDate,Creator,EditDate,Editor,x,y
36,01201546-1e8e-4078-8671-d5134af6eb84,Zorob Health Centre|UNRWA,,,,,1140,147,210,139,,1345,,176,70000,04/26/2026 07:16:16.969,,04/26/2026 07:16:16.969,,0,0
35,5ba2076d-6ee8-4a73-889b-4d54cb623b35,West Nuseirat Health Center|UNRWA,1500,55,403,73,1000,102,371,71,1469,857,542,181,25000,04/22/2026 07:13:27.132,,04/22/2026 07:13:27.132,,0,0
34,5f2974c7-a110-47e6-8a52-cfce6f473a2c,Japanese Health Center|UNRWA,10000,2598,2170,1467,4978,795,804,581,16277,4179,2598,700,174000,04/21/2026 11:53:43.976,,04/21/2026 11:53:43.976,,0,0
33,2ff25892-2f1f-4078-803f-b3e13bd0420c,Alamal Medical Point|PRCS,1400,200,157,127,700,96,117,115,0,0,0,0,130000,04/21/2026 11:12:40.582,,04/21/2026 11:12:40.582,,0,0
32,887fe2b8-ca54-436e-8f52-d93ffa924e3b,IMC PHC|IMC,2933,690,571,129,574,56,343,87,2000,500,1800,400,8000,04/21/2026 08:46:58.367,,04/21/2026 08:46:58.367,,0,0
31,91889ab7-103d-4b9c-8c54-37cb85e83794,Hamad Health Center|UNRWA,,,,,1625,169,267,231,,406,,183,406,04/21/2026 08:37:29.201,,04/21/2026 08:37:29.201,,0,0
30,4f8561f1-4540-4b69-8d86-e2ef10aee86f,Al Aqsa B. Clinic|MOH,12887,1007,868,834,2557,366,398,418,699,1504,101,309,400000,04/21/2026 06:32:25.087,,04/21/2026 06:32:25.087,,0,0
29,e01ce9d0-8db7-46f1-800f-b85bef495445,Mawasi Medical Point Num 2|UNRWA,13000,3000,2280,1440,2255,640,600,360,17560,4372,2300,590,195000,04/21/2026 06:11:40.990,,04/21/2026 06:11:40.990,,0,0
28,397e6f3c-c4cc-4bed-8d34-327487fd5501,Nuseirat Health Center|UNRWA,29795,4921,4427,3592,7461,1248,1337,971,5037,1423,3675,1028,165000,04/21/2026 06:10:17.302,,04/21/2026 06:10:17.302,,0,0
27,47929b05-6d14-4549-8ca5-58cea417cace,Maweya Medical Point |UNRWA,40,0,4,2,256,38,44,46,90,483,3,59,1260,04/21/2026 06:03:28.346,,04/21/2026 06:03:28.346,,0,0
26,aed6ce31-b74a-4a46-82a2-ea6b311189ab,Al Falah MP|MOH,,,,,318,34,45,44,,310,,175,20000,04/21/2026 05:56:37.489,,04/21/2026 05:56:37.489,,0,0
25,5a69ff10-b2a4-457d-8821-2086ca6c7456,"Maghazi Elem. Co-ed ""A"" & ""B""|UNRWA",1600,400,1100,600,500,196,229,173,305,589,153,210,1120,04/21/2026 05:49:52.967,,04/21/2026 05:49:52.967,,0,0
24,80512645-072b-4b94-852e-54445b7327fc,Burej PHC|MOH,0,0,0,0,92,10,9,21,0,292,,37,23000,04/21/2026 05:45:00.869,,04/21/2026 05:45:00.869,,0,0
23,e27ba15c-3842-47fe-875d-9ca2ca975a06,"Rimal Elem. Co-ed ""A"" & ""B""|UNRWA",153,5,15,118,722,79,87,155,1556,1005,146,115,27,04/20/2026 15:39:44.148,,04/20/2026 15:39:44.148,,0,0
22,0e4a69e9-10d6-4b95-89bd-9feec241214e,Huneyn Medical point|UNRWA,0,0,0,0,,141,205,182,,,,,600,04/20/2026 15:24:47.619,,04/20/2026 15:24:47.619,,0,0
21,2a4633ec-f5a7-4163-8428-b9c85b5b06f6,Al-Zawaydeh PHC|MOH,8795,686,1133,1006,1251,133,389,272,1727,263,808,218,650,04/20/2026 10:59:06.199,,04/20/2026 10:59:06.199,,0,0
20,6e23dc5b-1421-4aff-8e74-cce8e3931bf3,"Deir Al, Balah PHC|PRCS",10010,4229,1067,445,8488,668,850,515,4381,3601,1657,976,52000,04/20/2026 10:44:59.064,,04/20/2026 10:44:59.064,,0,0
19,43a92d82-9f5b-4b6b-81a7-a6ba095dda2f,IMC PHC|IMC,2933,690,571,129,574,56,343,87,2000,500,1000,450,80000,04/20/2026 10:41:52.036,,04/20/2026 10:41:52.036,,0,0
18,fafb2d95-4370-445f-8977-935ee8a473e0,Al-Zawaydeh PHC|MOH,8795,686,1133,1006,1251,133,289,272,1726,218,808,263,650,04/20/2026 10:18:12.811,,04/20/2026 10:18:12.811,,0,0
17,81756951-9014-45bf-8725-299dd5bc8133,Deir El-Balah Health Center|UNRWA,15503,2776,12423,8493,3814,654,2405,1589,,,,,43000,04/20/2026 10:06:09.984,,04/20/2026 10:06:09.984,,0,0
16,c3852127-a144-442b-8b01-2224080540bb,Maweya Medical Point |UNRWA,,0,4,2,261,44,38,41,,,,,1500,04/20/2026 09:50:17.027,,04/20/2026 09:50:17.027,,0,0
15,0ea8721c-cdea-424d-830a-6d98db56423c,Al Mawasi PHC|PRCS,3964,451,597,428,895,40,142,206,0,0,0,0,3200,04/20/2026 09:38:28.460,,04/20/2026 09:38:28.460,,0,0
14,eb1360dc-d9c4-4df0-8abc-ebb750b08ec0,Asda medical Point|MOH,5605,797,708,496,1523,208,317,228,2939,1954,266,269,6608,04/20/2026 09:37:48.051,,04/20/2026 09:37:48.051,,0,0
13,7d78844d-5fac-4e01-8d72-8146b646dad5,Al Falah MP|MOH,,,,,385,42,60,45,,369,,128,2500,04/19/2026 08:57:00.624,,04/19/2026 08:57:00.624,,0,0
12,352348ae-aefb-4501-8406-bb4bad88ed8f,"Asma' Prep. Girls ""A"" & ""B""|UNRWA",14141,1725,10566,10500,5159,762,3652,3600,2627,3389,1725,762,2880,04/19/2026 08:56:48.589,,04/19/2026 09:02:20.389,palmoh,0,0
11,37ae3d51-844a-446c-864e-a18d36580988,"Rimal Elem. Co-ed ""A"" & ""B""|UNRWA",153,5,118,118,722,79,152,152,1005,1017,115,125,420,04/19/2026 08:56:39.080,,04/19/2026 08:56:39.080,,0,0
10,2eac55f0-03fb-4321-872b-fd1c0355d780,"Salah Eddin Prep. Boys ""B"" & ""A""|UNRWA",3187,535,890,800,2532,235,640,640,4442,1376,1010,231,1036,04/19/2026 08:56:14.153,,04/19/2026 09:04:39.106,palmoh,0,0
9,4df7fccd-57f7-4563-8a7a-d580ca35248f,Al Shetea PHC|MOH,0,0,0,0,283,17,133,43,0,25,0,17,896,04/19/2026 08:55:46.523,,04/19/2026 08:55:46.523,,0,0
8,dfa4e76e-d8af-41b2-8b8f-ef83362ef647,Masqat El-Sabra PHC|MOH,2010,2010,2010,1740,550,550,243,0,3476,831,1057,390,3772,04/19/2026 08:50:48.709,,04/19/2026 08:50:48.709,,0,0
7,ee641672-d23e-4e30-807a-3a89cd7654ff,Blood Bank Medical Point|MOH,0,0,0,0,164,144,59,41,0,1934,0,103,112,04/19/2026 08:49:30.006,,04/19/2026 08:49:30.006,,0,0
6,c714f29a-1647-4878-8b17-24472bca3e11,Al Saftawi PHC|UNRWA,229,72,30,34,2006,216,261,190,19,,44,173,1238,04/19/2026 08:42:07.742,,04/19/2026 09:03:10.875,palmoh,0,0
5,e3e95dd6-2055-4a49-8135-8315d948c1b3,Al Qudus Hospital|PRCS,0,0,0,0,1343,196,304,139,0,0,0,0,2000,04/19/2026 08:33:25.150,,04/19/2026 09:04:17.015,palmoh,0,0
4,22cf8319-73fd-4a02-8e6a-49955e25c947,Al-Daraj PHC|MOH,26940,3576,4440,3762,6681,840,3093,915,14732,6105,2280,547,4500,04/19/2026 08:25:47.022,,04/19/2026 08:57:53.485,palmoh,0,0
3,8fba1574-0e57-4c34-88cb-fcb9666a5327,Alsalam PHC|MOH,9080,1654,1275,1200,1825,282,399,237,0,1531,0,129,4284,04/19/2026 08:09:21.176,,04/19/2026 08:58:18.812,palmoh,0,0
2,73eb50e0-4b09-4667-84be-78d3b555c357,Elsheikh Radwan PHC|MOH,4060,4060,,,450,450,,,,859,,1107,4050,04/19/2026 07:59:35.286,,04/19/2026 09:02:37.131,palmoh,0,0
